target,loss,explainer,threshold,acc_test,n_molecule_scores,n_pairs,archived_acc_test,absolute_difference,source_presence
1CKP-PVB,MSE,shap,90,0.5925925925925926,27.0,18.0,0.5555555555555556,0.03703703703703698,both
1CKP-PVB,MSE,shap,95,0.0,2.0,2.0,0.5,0.5,both
1D3G-BRE,MSE,cam,50,0.5886786469344606,215.0,109.0,0.6245795160911434,0.03590086915668278,both
1D3G-BRE,MSE,cam,55,0.5886786469344606,215.0,109.0,0.6245795160911434,0.03590086915668278,both
1D3G-BRE,MSE,cam,60,0.5886786469344606,215.0,109.0,0.6245795160911434,0.03590086915668278,both
1D3G-BRE,MSE,cam,65,0.5853214890016918,197.0,100.0,0.6189650310208682,0.03364354201917641,both
1D3G-BRE,MSE,cam,70,0.583190476190476,175.0,89.0,0.6118571428571427,0.028666666666666618,both
1D3G-BRE,MSE,cam,75,0.5205387205387205,99.0,51.0,0.508080808080808,0.012457912457912501,both
1D3G-BRE,MSE,cam,80,0.49487179487179483,65.0,34.0,0.4871794871794871,0.0076923076923077205,both
1D3G-BRE,MSE,cam,85,0.4909909909909909,37.0,20.0,0.5045045045045045,0.013513513513513542,both
1D3G-BRE,MSE,cam,90,0.5,18.0,10.0,0.5,0.0,both
1D3G-BRE,MSE,cam,95,0.5,6.0,4.0,0.5,0.0,both
1D3G-BRE,MSE,diff,50,0.6394140742977951,215.0,109.0,0.5989159032182289,0.040498171079566214,both
1D3G-BRE,MSE,diff,55,0.6394140742977951,215.0,109.0,0.5989159032182289,0.040498171079566214,both
1D3G-BRE,MSE,diff,60,0.6394140742977951,215.0,109.0,0.5989159032182289,0.040498171079566214,both
1D3G-BRE,MSE,diff,65,0.6447304810248973,197.0,100.0,0.5852650874224479,0.0594653936024494,both
1D3G-BRE,MSE,diff,70,0.6433061224489794,175.0,89.0,0.585,0.05830612244897948,both
1D3G-BRE,MSE,diff,75,0.5730639730639732,99.0,51.0,0.4823232323232323,0.09074074074074084,both
1D3G-BRE,MSE,diff,80,0.5512820512820513,65.0,34.0,0.4346153846153847,0.11666666666666664,both
1D3G-BRE,MSE,diff,85,0.6306306306306307,37.0,20.0,0.4054054054054054,0.22522522522522537,both
1D3G-BRE,MSE,diff,90,0.75,18.0,10.0,0.5277777777777778,0.2222222222222222,both
1D3G-BRE,MSE,diff,95,0.8333333333333334,6.0,4.0,0.5,0.33333333333333337,both
1D3G-BRE,MSE,gradcam,50,0.47256938152286965,215.0,109.0,0.5890184234370276,0.11644904191415795,both
1D3G-BRE,MSE,gradcam,55,0.47256938152286965,215.0,109.0,0.5890184234370276,0.11644904191415795,both
1D3G-BRE,MSE,gradcam,60,0.47256938152286965,215.0,109.0,0.5890184234370276,0.11644904191415795,both
1D3G-BRE,MSE,gradcam,65,0.46960156312948165,197.0,100.0,0.580154701474498,0.11055313834501634,both
1D3G-BRE,MSE,gradcam,70,0.48060544217687046,175.0,89.0,0.5707074829931971,0.09010204081632661,both
1D3G-BRE,MSE,gradcam,75,0.5666666666666668,99.0,51.0,0.4324915824915825,0.13417508417508428,both
1D3G-BRE,MSE,gradcam,80,0.5758974358974359,65.0,34.0,0.3848717948717949,0.191025641025641,both
1D3G-BRE,MSE,gradcam,85,0.5630630630630631,37.0,20.0,0.4234234234234234,0.1396396396396397,both
1D3G-BRE,MSE,gradcam,90,0.5833333333333334,18.0,10.0,0.5555555555555556,0.02777777777777779,both
1D3G-BRE,MSE,gradcam,95,0.5,6.0,4.0,0.5,0.0,both
1D3G-BRE,MSE,gradinput,50,0.5149503339038222,215.0,109.0,0.5510114433370248,0.03606110943320262,both
1D3G-BRE,MSE,gradinput,55,0.5149503339038222,215.0,109.0,0.5510114433370248,0.03606110943320262,both
1D3G-BRE,MSE,gradinput,60,0.5149503339038222,215.0,109.0,0.5510114433370248,0.03606110943320262,both
1D3G-BRE,MSE,gradinput,65,0.5116247683506566,197.0,100.0,0.5493272097333012,0.03770244138264456,both
