target,loss,explainer,threshold,acc_test,n_molecule_scores,n_pairs
1D3G-BRE,MSE,ig,55,0.6205129366757274,215,109
1D3G-BRE,MSE,ig,60,0.6205129366757274,215,109
1D3G-BRE,MSE,ig,65,0.6256405607928451,197,100
1D3G-BRE,MSE,ig,70,0.6318163265306125,175,89
1D3G-BRE,MSE,ig,75,0.6377104377104376,99,51
1D3G-BRE,MSE,ig,80,0.6441025641025641,65,34
1D3G-BRE,MSE,ig,85,0.6936936936936936,37,20
1D3G-BRE,MSE,ig,90,0.8611111111111112,18,10
1D3G-BRE,MSE,ig,95,1.0,6,4
1D3G-BRE,MSE,shap,50,0.48126094835397176,215,109
1D3G-BRE,MSE,shap,55,0.48126094835397176,215,109
1D3G-BRE,MSE,shap,60,0.48126094835397176,215,109
1D3G-BRE,MSE,shap,65,0.4727036499879142,197,100
1D3G-BRE,MSE,shap,70,0.47831972789115673,175,89
1D3G-BRE,MSE,shap,75,0.5010101010101009,99,51
1D3G-BRE,MSE,shap,80,0.5230769230769231,65,34
1D3G-BRE,MSE,shap,85,0.5180180180180181,37,20
1D3G-BRE,MSE,shap,90,0.4722222222222222,18,10
1D3G-BRE,MSE,shap,95,0.5,6,4
1D7X-SPC,MSE,cam,50,0.5192828734127849,1247,634
1D7X-SPC,MSE,cam,55,0.5205343664780041,1171,596
1D7X-SPC,MSE,cam,60,0.5195743778022258,1027,524
1D7X-SPC,MSE,cam,65,0.5227920667166478,716,368
1D7X-SPC,MSE,cam,70,0.518977677651147,539,277
1D7X-SPC,MSE,cam,75,0.5141067987888797,346,178
1D7X-SPC,MSE,cam,80,0.5195360195360195,195,102
1D7X-SPC,MSE,cam,85,0.5185185185185185,90,48
1D7X-SPC,MSE,cam,90,0.5576923076923077,26,14
1D7X-SPC,MSE,cam,95,0.5,4,2
1D7X-SPC,MSE,diff,50,0.652497718149094,1247,634
1D7X-SPC,MSE,diff,55,0.6509157753801642,1171,596
1D7X-SPC,MSE,diff,60,0.6613313847247675,1027,524
1D7X-SPC,MSE,diff,65,0.6764686973485857,716,368
1D7X-SPC,MSE,diff,70,0.6787582959197062,539,277
1D7X-SPC,MSE,diff,75,0.6799006789613725,346,178
1D7X-SPC,MSE,diff,80,0.686923076923077,195,102
1D7X-SPC,MSE,diff,85,0.6814814814814815,90,48
1D7X-SPC,MSE,diff,90,0.6346153846153846,26,14
1D7X-SPC,MSE,diff,95,1.0,4,2
1D7X-SPC,MSE,gradcam,50,0.6116143586818102,1247,634
1D7X-SPC,MSE,gradcam,55,0.6147532632914667,1171,596
1D7X-SPC,MSE,gradcam,60,0.6164827355917926,1027,524
1D7X-SPC,MSE,gradcam,65,0.6279711520633314,716,368
1D7X-SPC,MSE,gradcam,70,0.6296602387511488,539,277
1D7X-SPC,MSE,gradcam,75,0.6392983301220294,346,178
1D7X-SPC,MSE,gradcam,80,0.6470085470085472,195,102
1D7X-SPC,MSE,gradcam,85,0.6314814814814813,90,48
1D7X-SPC,MSE,gradcam,90,0.5769230769230769,26,14
1D7X-SPC,MSE,gradcam,95,0.75,4,2
1D7X-SPC,MSE,gradinput,50,0.5992490383477657,1247,634
1D7X-SPC,MSE,gradinput,55,0.597372407137186,1171,596
1D7X-SPC,MSE,gradinput,60,0.6048990066516827,1027,524
1D7X-SPC,MSE,gradinput,65,0.6105996114376012,716,368
1D7X-SPC,MSE,gradinput,70,0.615426729526916,539,277
1D7X-SPC,MSE,gradinput,75,0.613609046701532,346,178
1D7X-SPC,MSE,gradinput,80,0.6144444444444446,195,102
1D7X-SPC,MSE,gradinput,85,0.6009259259259259,90,48
1D7X-SPC,MSE,gradinput,90,0.5192307692307693,26,14
1D7X-SPC,MSE,gradinput,95,0.5,4,2
1D7X-SPC,MSE,ig,50,0.6242440757191029,1247,634
1D7X-SPC,MSE,ig,55,0.6228122326008759,1171,596
1D7X-SPC,MSE,ig,60,0.6302333796248114,1027,524
1D7X-SPC,MSE,ig,65,0.6317926370649829,716,368
1D7X-SPC,MSE,ig,70,0.6362206748106561,539,277
1D7X-SPC,MSE,ig,75,0.6267708046609782,346,178
1D7X-SPC,MSE,ig,80,0.6427594627594629,195,102
1D7X-SPC,MSE,ig,85,0.6527777777777778,90,48
1D7X-SPC,MSE,ig,90,0.6730769230769231,26,14
1D7X-SPC,MSE,ig,95,0.75,4,2
1D7X-SPC,MSE,shap,50,0.516896053839114,1247,634
1D7X-SPC,MSE,shap,55,0.5185410897352679,1171,596
1D7X-SPC,MSE,shap,60,0.5205641567131344,1027,524
1D7X-SPC,MSE,shap,65,0.5219041472183928,716,368
1D7X-SPC,MSE,shap,70,0.5207774806105044,539,277
1D7X-SPC,MSE,shap,75,0.5200385356454722,346,178
1D7X-SPC,MSE,shap,80,0.52008547008547,195,102
1D7X-SPC,MSE,shap,85,0.5342592592592593,90,48
1D7X-SPC,MSE,shap,90,0.5192307692307693,26,14
1D7X-SPC,MSE,shap,95,0.75,4,2
1D8M-BBH,MSE,cam,50,0.62,50,31
1D8M-BBH,MSE,cam,55,0.6304347826086957,46,29
1D8M-BBH,MSE,cam,60,0.6304347826086957,46,29
1D8M-BBH,MSE,cam,65,0.6363636363636364,44,28
1D8M-BBH,MSE,cam,70,0.65,40,26
1D8M-BBH,MSE,cam,75,0.6785714285714286,28,19
1D8M-BBH,MSE,cam,80,0.6666666666666666,18,12
1D8M-BBH,MSE,cam,85,0.7,10,7
1D8M-BBH,MSE,cam,90,0.75,4,3
1D8M-BBH,MSE,cam,95,,0,0
1D8M-BBH,MSE,diff,50,0.530274225774226,50,31
1D8M-BBH,MSE,diff,55,0.5274719845372021,46,29
1D8M-BBH,MSE,diff,60,0.5274719845372021,46,29
1D8M-BBH,MSE,diff,65,0.5257010035419128,44,28
1D8M-BBH,MSE,diff,70,0.5267559523809526,40,26
1D8M-BBH,MSE,diff,75,0.5315051020408164,28,19
1D8M-BBH,MSE,diff,80,0.5518518518518518,18,12
1D8M-BBH,MSE,diff,85,0.6333333333333333,10,7
1D8M-BBH,MSE,diff,90,0.625,4,3
1D8M-BBH,MSE,diff,95,,0,0
1D8M-BBH,MSE,gradcam,50,0.6145622155622155,50,31
1D8M-BBH,MSE,gradcam,55,0.6109371908284951,46,29
1D8M-BBH,MSE,gradcam,60,0.6109371908284951,46,29
1D8M-BBH,MSE,gradcam,65,0.6131190148235602,44,28
1D8M-BBH,MSE,gradcam,70,0.6335218253968253,40,26
1D8M-BBH,MSE,gradcam,75,0.6320153061224489,28,19
1D8M-BBH,MSE,gradcam,80,0.6203703703703705,18,12
1D8M-BBH,MSE,gradcam,85,0.6166666666666667,10,7
1D8M-BBH,MSE,gradcam,90,0.75,4,3
1D8M-BBH,MSE,gradcam,95,,0,0
1D8M-BBH,MSE,gradinput,50,0.5109366744366743,50,31
1D8M-BBH,MSE,gradinput,55,0.5034335833248876,46,29
1D8M-BBH,MSE,gradinput,60,0.5034335833248876,46,29
1D8M-BBH,MSE,gradinput,65,0.5069272268135904,44,28
1D8M-BBH,MSE,gradinput,70,0.5303472222222222,40,26
1D8M-BBH,MSE,gradinput,75,0.5401785714285714,28,19
1D8M-BBH,MSE,gradinput,80,0.5,18,12
1D8M-BBH,MSE,gradinput,85,0.4666666666666666,10,7
1D8M-BBH,MSE,gradinput,90,0.625,4,3
1D8M-BBH,MSE,gradinput,95,,0,0
1D8M-BBH,MSE,ig,50,0.5697310467310467,50,31
1D8M-BBH,MSE,ig,55,0.5673405097318139,46,29
1D8M-BBH,MSE,ig,60,0.5673405097318139,46,29
1D8M-BBH,MSE,ig,65,0.5654745507018233,44,28
1D8M-BBH,MSE,ig,70,0.5640674603174601,40,26
1D8M-BBH,MSE,ig,75,0.5541666666666666,28,19
1D8M-BBH,MSE,ig,80,0.4962962962962963,18,12
1D8M-BBH,MSE,ig,85,0.4333333333333333,10,7
1D8M-BBH,MSE,ig,90,0.375,4,3
1D8M-BBH,MSE,ig,95,,0,0
1D8M-BBH,MSE,shap,50,0.5752374847374846,50,31
1D8M-BBH,MSE,shap,55,0.5881204544248021,46,29
1D8M-BBH,MSE,shap,60,0.5881204544248021,46,29
1D8M-BBH,MSE,shap,65,0.5819542830906465,44,28
1D8M-BBH,MSE,shap,70,0.5795436507936506,40,26
1D8M-BBH,MSE,shap,75,0.6284863945578232,28,19
1D8M-BBH,MSE,shap,80,0.5972222222222223,18,12
1D8M-BBH,MSE,shap,85,0.6583333333333333,10,7
