target,loss,explainer,n_pairs,n_flipped,flip_rate
1CKP-PVB,MSE,cam,214,33,0.1542056074766355
1CKP-PVB,MSE,diff,214,7,0.03271028037383177
1CKP-PVB,MSE,gradcam,214,55,0.2570093457943925
1CKP-PVB,MSE,gradinput,214,26,0.12149532710280374
1CKP-PVB,MSE,ig,214,15,0.07009345794392523
1CKP-PVB,MSE,shap,214,36,0.16822429906542055
1D3G-BRE,MSE,cam,109,13,0.11926605504587157
1D3G-BRE,MSE,diff,109,9,0.08256880733944955
1D3G-BRE,MSE,gradcam,109,33,0.30275229357798167
1D3G-BRE,MSE,gradinput,109,30,0.27522935779816515
1D3G-BRE,MSE,ig,109,6,0.05504587155963303
1D3G-BRE,MSE,shap,109,30,0.27522935779816515
1D7X-SPC,MSE,cam,634,129,0.20347003154574134
1D7X-SPC,MSE,diff,634,32,0.050473186119873815
1D7X-SPC,MSE,gradcam,634,47,0.07413249211356467
1D7X-SPC,MSE,gradinput,634,70,0.11041009463722397
1D7X-SPC,MSE,ig,634,37,0.0583596214511041
1D7X-SPC,MSE,shap,634,156,0.24605678233438485
1D8M-BBH,MSE,cam,31,5,0.16129032258064516
1D8M-BBH,MSE,diff,31,1,0.03225806451612903
1D8M-BBH,MSE,gradcam,31,3,0.0967741935483871
1D8M-BBH,MSE,gradinput,31,3,0.0967741935483871
1D8M-BBH,MSE,ig,31,4,0.12903225806451613
1D8M-BBH,MSE,shap,31,5,0.16129032258064516
1DB4-8IN,MSE,cam,2200,446,0.20272727272727273
1DB4-8IN,MSE,diff,2200,175,0.07954545454545454
1DB4-8IN,MSE,gradcam,2200,338,0.15363636363636363
1DB4-8IN,MSE,gradinput,2200,211,0.0959090909090909
1DB4-8IN,MSE,ig,2200,342,0.15545454545454546
1DB4-8IN,MSE,shap,2200,594,0.27
1DYR-TOP,MSE,cam,85,13,0.15294117647058825
1DYR-TOP,MSE,diff,85,2,0.023529411764705882
1DYR-TOP,MSE,gradcam,85,16,0.18823529411764706
1DYR-TOP,MSE,gradinput,85,24,0.2823529411764706
1DYR-TOP,MSE,ig,85,12,0.1411764705882353
1DYR-TOP,MSE,shap,85,23,0.27058823529411763
1EZQ-RPR,MSE,cam,13,0,0.0
1EZQ-RPR,MSE,diff,13,4,0.3076923076923077
1EZQ-RPR,MSE,gradcam,13,2,0.15384615384615385
1EZQ-RPR,MSE,gradinput,13,0,0.0
1EZQ-RPR,MSE,ig,13,1,0.07692307692307693
1EZQ-RPR,MSE,shap,13,3,0.23076923076923078
1F0R-815,MSE,cam,229,28,0.1222707423580786
1F0R-815,MSE,diff,229,7,0.03056768558951965
1F0R-815,MSE,gradcam,229,12,0.05240174672489083
1F0R-815,MSE,gradinput,229,26,0.11353711790393013
1F0R-815,MSE,ig,229,9,0.039301310043668124
1F0R-815,MSE,shap,229,71,0.31004366812227074
1F40-GPI,MSE,cam,67,2,0.029850746268656716
1F40-GPI,MSE,diff,67,7,0.1044776119402985
1F40-GPI,MSE,gradcam,67,8,0.11940298507462686
1F40-GPI,MSE,gradinput,67,9,0.13432835820895522
1F40-GPI,MSE,ig,67,2,0.029850746268656716
1F40-GPI,MSE,shap,67,10,0.14925373134328357
1FLS-WAY,MSE,cam,439,37,0.08428246013667426
1FLS-WAY,MSE,diff,439,18,0.04100227790432802
1FLS-WAY,MSE,gradcam,439,65,0.1480637813211845
1FLS-WAY,MSE,gradinput,439,68,0.1548974943052392
1FLS-WAY,MSE,ig,439,28,0.06378132118451026
1FLS-WAY,MSE,shap,439,116,0.2642369020501139
1FM9-570,MSE,cam,136,21,0.15441176470588236
1FM9-570,MSE,diff,136,9,0.0661764705882353
1FM9-570,MSE,gradcam,136,10,0.07352941176470588
1FM9-570,MSE,gradinput,136,23,0.16911764705882354
1FM9-570,MSE,ig,136,12,0.08823529411764706
1FM9-570,MSE,shap,136,44,0.3235294117647059
1G5S-I17,MSE,cam,1298,301,0.23189522342064714
1G5S-I17,MSE,diff,1298,147,0.11325115562403698
1G5S-I17,MSE,gradcam,1298,282,0.2172573189522342
1G5S-I17,MSE,gradinput,1298,214,0.16486902927580893
1G5S-I17,MSE,ig,1298,47,0.0362095531587057
1G5S-I17,MSE,shap,1298,351,0.27041602465331277
1H00-FAP,MSE,cam,43,2,0.046511627906976744
1H00-FAP,MSE,diff,43,1,0.023255813953488372
1H00-FAP,MSE,gradcam,43,0,0.0
1H00-FAP,MSE,gradinput,43,0,0.0
1H00-FAP,MSE,ig,43,1,0.023255813953488372
1H00-FAP,MSE,shap,43,12,0.27906976744186046
1H01-FAL,MSE,cam,34,11,0.3235294117647059
1H01-FAL,MSE,diff,34,0,0.0
1H01-FAL,MSE,gradcam,34,8,0.23529411764705882
1H01-FAL,MSE,gradinput,34,5,0.14705882352941177
