mcs_a,mcs_b,n_targets,n_methods,kendall_tau
50,55,348,6,0.9999999999999999
50,60,348,6,0.9999999999999999
50,65,348,6,0.9999999999999999
50,70,347,6,0.9999999999999999
50,75,344,6,0.9999999999999999
50,80,341,6,0.9999999999999999
50,85,331,6,0.9999999999999999
50,90,307,6,0.9999999999999999
50,95,232,6,0.9999999999999999
