mcs_a,mcs_b,n_complete_targets,kendall_tau
50,55,349,0.9999999999999999
50,60,349,0.9999999999999999
50,65,349,0.8666666666666666
50,70,348,0.9999999999999999
50,75,345,0.8666666666666666
50,80,342,0.8666666666666666
50,85,332,0.8666666666666666
50,90,308,0.8666666666666666
50,95,233,0.9660917830792959
