explainer,targets,pair_denominator,flipped_pairs,flip_rate,target_cluster_bootstrap_ci_low,target_cluster_bootstrap_ci_high,bootstrap_replicates
cam,350,108962,22030,0.202180576714818,0.18770677604091937,0.21655514402866022,5000
diff,350,108962,8552,0.07848607771516676,0.07128028630010717,0.0857741056115815,5000
gradcam,350,108962,14957,0.1372680383987078,0.12292826974956099,0.15158208106140553,5000
gradinput,350,108962,12945,0.11880288540959233,0.10862549140315217,0.12830509371648208,5000
ig,350,108962,11130,0.1021457021713992,0.09369750118602989,0.10990238445696512,5000
shap,348,102636,26788,0.26100003897268015,0.25182569004945843,0.26912773020146374,5000
POOLED,350,647446,96402,0.1488958152494571,0.14243370478125866,0.15561154283723852,5000
