mcs_min,mcs_max,n_thresholds,complete_targets,expected_target_method_threshold_cells,available_finite_cells,missing_cell_fraction,complete_case_definition_method_variance_ratio,available_cell_marginal_variance_ratio
50,55,2,349,4200,4198,0.0004761904761905189,3.10840493524059e-05,3.411860564703439e-05
50,60,3,349,6300,6297,0.0004761904761905189,0.00037033324595200684,0.0003896105565726598
50,65,4,349,8400,8396,0.0004761904761905189,0.0007374485883496683,0.0007684364557455969
50,70,5,348,10500,10489,0.001047619047619075,0.0026391091390030054,0.0026839996920441293
50,75,6,345,12600,12564,0.0028571428571428914,0.007623511378775326,0.008536612302767147
50,80,7,342,14700,14621,0.005374149659863936,0.030671541018503286,0.033563732948726895
50,85,8,332,16800,16618,0.010833333333333361,0.06511824007089574,0.06441590671655051
50,90,9,308,18900,18471,0.022698412698412662,0.10697126083125211,0.09984829857875888
50,95,10,233,21000,19874,0.053619047619047566,0.12758327649076023,0.1344919564236403
