estimand,threshold,dataset,rmse_ratio,ecfp_component_positive,positive_datasets_out_of_3
endpoint_deduplicated,1.15,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.15,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.15,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.16,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.16,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.16,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.17,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.17,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.17,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.18,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.18,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.18,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.19,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.19,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.19,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.2,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.2,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.2,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.21,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.21,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.21,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.22,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.22,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.22,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.23,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.23,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.23,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.24,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.24,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.24,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.25,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.25,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.25,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.26,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.26,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.26,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.27,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.27,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.27,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.28,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.28,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.28,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.29,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.29,CHEMBL235_EC50,1.1456465500709594,False,0
endpoint_deduplicated,1.29,CHEMBL236_Ki,1.1403189757735712,False,0
endpoint_deduplicated,1.3,CHEMBL214_Ki,1.0830819866865073,False,0
endpoint_deduplicated,1.3,CHEMBL235_EC50,1.1456465500709594,False,0
