dataset,environment,matched_pair_rows_per_group,cliff_endpoint_appearances,noncliff_endpoint_appearances,unique_cliff_molecules,unique_noncliff_molecules,stored_unique_cliff_rmse,recomputed_unique_cliff_rmse,stored_unique_noncliff_rmse,recomputed_unique_noncliff_rmse,stored_unique_ratio,recomputed_unique_ratio,pair_equal_cliff_rmse,pair_equal_noncliff_rmse,pair_equal_ratio,gate_threshold,stored_gate_pass,pair_equal_gate_pass
CHEMBL214_Ki,mmp_series,133,266,266,145,160,1.0749598884270082,1.0749598884270082,0.9925009386553024,0.9925009386553023,1.0830819866865071,1.0830819866865073,1.2178394926557345,0.9712922758946206,1.2538342195031136,1.25,False,True
CHEMBL214_Ki,original,59,118,118,88,102,0.9999072454253488,0.9999072454253487,0.6881285476090933,0.6881285476090933,1.4530820569783545,1.4530820569783545,1.0759056604541903,0.6702363776011364,1.605263003337714,1.25,True,True
CHEMBL235_EC50,mmp_series,76,152,152,85,103,1.0623853522743347,1.062385352274335,0.9273238349197076,0.9273238349197077,1.1456465500709592,1.1456465500709594,1.2103458433663759,0.9372205288329667,1.2914205420505531,1.25,False,True
CHEMBL235_EC50,original,32,64,64,56,60,0.7540966651166131,0.7540966651166131,0.6358250683728989,0.6358250683728989,1.1860127928682898,1.1860127928682898,0.8033116401881861,0.6425463837691545,1.2502002353137345,1.25,False,True
CHEMBL236_Ki,mmp_series,144,288,288,134,173,1.0552970498748937,1.0552970498748935,0.9254402253185338,0.9254402253185338,1.1403189757735712,1.1403189757735712,1.1420290365798398,0.8844055628719864,1.2912956278466368,1.25,False,True
CHEMBL236_Ki,original,51,102,102,77,77,0.926122211875356,0.9261222118753559,0.5492141333893247,0.5492141333893247,1.686267988334616,1.6862679883346159,0.9853985818704042,0.559171569732313,1.7622472872541337,1.25,True,True
