dataset,environment,representation,n_train,n_calibration,n_test,rmse,mae,cliff_rmse,matched_cliff_rmse,matched_noncliff_rmse,n_cliff_pairs,n_matched_pairs,cliff_ratio,ensemble_variance_aurc,ensemble_variance_sr80,ensemble_variance_spearman_abs_error,ecfp_distance_aurc,ecfp_distance_sr80,ecfp_distance_spearman_abs_error,conformal_coverage_90,conformal_mean_width
CHEMBL214_Ki,mmp_series,ecfp,2091,610,616,1.0452795983021899,0.8615252040108832,1.0749598884270082,1.0749598884270082,0.9925009386553023,133,133,1.0830819866865073,1.0256565006375329,0.9997576949708247,0.013411556266897369,0.9206878835785122,0.9864271799813967,0.11608637448928136,0.8896103896103896,3.299785413871069
CHEMBL214_Ki,original,ecfp,2122,529,666,0.7405111264279898,0.5529202501052782,0.9999072454253488,0.9999072454253488,0.6881285476090933,59,59,1.4530820569783545,0.6116977255215889,0.8893308130697153,0.25900965914136337,0.6265008180089225,0.8792063684906332,0.22836556946281522,0.9099099099099099,2.5052082631939623
CHEMBL235_EC50,mmp_series,ecfp,1713,335,301,0.9412809497790703,0.7385416341815108,1.0623853522743347,1.0623853522743347,0.9273238349197077,76,76,1.1456465500709592,0.9025905626967163,1.003066169992221,0.16240258740181734,0.9032995002629585,0.9087129494927477,0.07420866987104614,0.973421926910299,4.306534834032073
CHEMBL235_EC50,original,ecfp,1498,379,472,0.6756130949751473,0.5020216950287418,0.7540966651166131,0.7540966651166131,0.6358250683728989,32,32,1.1860127928682898,0.6141842291146863,0.9326329366635697,0.13233011489766844,0.584828174908901,0.9422817880400631,0.14306003594813657,0.9576271186440678,3.032815051822247
CHEMBL236_Ki,mmp_series,ecfp,1578,510,510,0.9163368375011165,0.7333839669286677,1.0552970498748935,1.0552970498748935,0.9254402253185338,144,144,1.1403189757735712,0.9050146868193807,0.9804068642061007,0.0575781730144581,0.9165507730705713,1.0226470017969618,-0.024574523277070832,0.9098039215686274,3.0304501893140454
CHEMBL236_Ki,original,ecfp,1658,419,521,0.7456888390336653,0.5507052396106004,0.926122211875356,0.926122211875356,0.5492141333893247,51,51,1.686267988334616,0.5993304526019626,0.931522300529566,0.2635775756002111,0.6063073178771464,0.9122010435331346,0.21411915467435613,0.9366602687140115,2.866280925413532
