target,seed,acc_test_mcs50
1CKP-PVB,20260809,0.4861361209174911
1CKP-PVB,20260810,0.4992213451300476
1CKP-PVB,20260811,0.4975862527066059
1D3G-BRE,20260809,0.5212190006376053
1D3G-BRE,20260810,0.4662877948924461
1D3G-BRE,20260811,0.5094368938554984
1D7X-SPC,20260809,0.49676592532831393
1D7X-SPC,20260810,0.4956684328991178
1D7X-SPC,20260811,0.5030005299073663
1D8M-BBH,20260809,0.5354717504717504
1D8M-BBH,20260810,0.5274846819846819
1D8M-BBH,20260811,0.5296827061827062
1DB4-8IN,20260809,0.4973473233546994
1DB4-8IN,20260810,0.5002719873218544
1DB4-8IN,20260811,0.49589957344191166
1DYR-TOP,20260809,0.48202644659745253
1DYR-TOP,20260810,0.53488628399871
1DYR-TOP,20260811,0.4857947854249629
1EZQ-RPR,20260809,0.4242673992673993
1EZQ-RPR,20260810,0.46575091575091576
1EZQ-RPR,20260811,0.46272893772893775
1F0R-815,20260809,0.4997529831875584
1F0R-815,20260810,0.5032837505317801
1F0R-815,20260811,0.5122538900126709
1F40-GPI,20260809,0.4954486556527373
1F40-GPI,20260810,0.47396155431869713
1F40-GPI,20260811,0.4563433165473981
1FLS-WAY,20260809,0.49662306740045586
1FLS-WAY,20260810,0.49493652380486336
1FLS-WAY,20260811,0.49235056466113986
1FM9-570,20260809,0.4896567919232795
1FM9-570,20260810,0.5145521840771271
1FM9-570,20260811,0.5089556867346166
1G5S-I17,20260809,0.5005377375711297
1G5S-I17,20260810,0.5001471522435698
1G5S-I17,20260811,0.5104240599939405
1H00-FAP,20260809,0.5186302784517071
1H00-FAP,20260810,0.4795669442990871
1H00-FAP,20260811,0.5038561801954659
1H01-FAL,20260809,0.5475091148168073
1H01-FAL,20260810,0.5039493839493838
1H01-FAL,20260811,0.4911063295678681
1H1Q-2A6,20260809,0.5159090584529181
1H1Q-2A6,20260810,0.5067229554071659
1H1Q-2A6,20260811,0.47967636651847173
1H1R-6CP,20260809,0.5076534576534576
1H1R-6CP,20260810,0.521845619083188
1H1R-6CP,20260811,0.503588231903149
1HVY-D16,20260809,0.49481303908378627
1HVY-D16,20260810,0.5007375010098759
1HVY-D16,20260811,0.5255564300867309
1HY7-MBS,20260809,0.48651829936627305
1HY7-MBS,20260810,0.48384105101840696
1HY7-MBS,20260811,0.48809735169414487
1IPC-MGP,20260809,0.5263304744003273
1IPC-MGP,20260810,0.5113035742171772
1IPC-MGP,20260811,0.5356014322006969
1KE5-LS1,20260809,0.45208002264964287
1KE5-LS1,20260810,0.4589406725482674
1KE5-LS1,20260811,0.4717148884870405
1KE9-LS5,20260809,0.49901213285359636
1KE9-LS5,20260810,0.4533188356359088
1KE9-LS5,20260811,0.5020403715525669
1KLK-PMD,20260809,0.4704829898420768
1KLK-PMD,20260810,0.5109283665802542
1KLK-PMD,20260811,0.5206838254906736
1KMS-LIH,20260809,0.508783041453496
1KMS-LIH,20260810,0.4784025318116227
1KMS-LIH,20260811,0.5066517447199265
1LD8-U49,20260809,0.5096698781133835
1LD8-U49,20260810,0.5140596947566258
1LD8-U49,20260811,0.5030167471490508
1LJT-HDI,20260809,0.4622568172568172
1LJT-HDI,20260810,0.5000407000407
1LJT-HDI,20260811,0.49845543345543336
1LY3-COG,20260809,0.5107076221725902
1LY3-COG,20260810,0.49933939026295704
1LY3-COG,20260811,0.4876262626262626
1M17-AQ4,20260809,0.5010696180047338
1M17-AQ4,20260810,0.49867519496553425
1M17-AQ4,20260811,0.5005727606501983
1MS6-BLN,20260809,0.5039891363632371
1MS6-BLN,20260810,0.5097909484600133
1MS6-BLN,20260811,0.5097398005671386
1MZC-BNE,20260809,0.5429606625258799
1MZC-BNE,20260810,0.5142339544513457
1MZC-BNE,20260811,0.5139751552795032
1N1M-A3M,20260809,0.49594706023277446
1N1M-A3M,20260810,0.5558234022519737
1N1M-A3M,20260811,0.4845933131647417
1NAV-IH5,20260809,0.534736251402918
1NAV-IH5,20260810,0.5410961466517021
1NAV-IH5,20260811,0.5161990273101384
1NAX-IH5,20260809,0.5119162003308344
1NAX-IH5,20260810,0.4715535142364411
1NAX-IH5,20260811,0.49228786119030016
1NFU-RRP,20260809,0.516416597663646
1NFU-RRP,20260810,0.4857828001935154
1NFU-RRP,20260811,0.48862039750492814
1O42-843,20260809,0.4900908946167794
1O42-843,20260810,0.5117204406715472
1O42-843,20260811,0.5023261698894527
1O46-903,20260809,0.5182888919591047
1O46-903,20260810,0.5178471646556754
1O46-903,20260811,0.5132080685272175
1O86-LPR,20260809,0.49757596064058823
1O86-LPR,20260810,0.49527461100599107
1O86-LPR,20260811,0.5180368846365835
1OHJ-COP,20260809,0.5262129845463179
1OHJ-COP,20260810,0.44257964257964255
1OHJ-COP,20260811,0.49097276180609506
1OIQ-HDU,20260809,0.4970615243342516
1OIQ-HDU,20260810,0.43414338187065454
1OIQ-HDU,20260811,0.5217106126197034
1OIR-HDY,20260809,0.4345898892773893
1OIR-HDY,20260810,0.5782433712121211
1OIR-HDY,20260811,0.5334850912975913
1OYN-4RR,20260809,0.5128650652322132
1OYN-4RR,20260810,0.5028552170197079
1OYN-4RR,20260811,0.505534917990762
1P2A-5BN,20260809,0.5408874458874459
1P2A-5BN,20260810,0.4775649350649351
1P2A-5BN,20260811,0.4343903318903318
1PYE-PM1,20260809,0.48358625501482644
1PYE-PM1,20260810,0.5007213874560813
1PYE-PM1,20260811,0.49764373948047413
1Q3W-ATU,20260809,0.4672377985462097
1Q3W-ATU,20260810,0.46408915591158584
1Q3W-ATU,20260811,0.49102507046432287
1Q4L-679,20260809,0.48377812663526953
1Q4L-679,20260810,0.5083202511773941
1Q4L-679,20260811,0.4934065934065934
1Q6K-TCO,20260809,0.4274488304093568
1Q6K-TCO,20260810,0.4910139933166249
1Q6K-TCO,20260811,0.48105158730158726
1R0E-DFN,20260809,0.4998877013424895
1R0E-DFN,20260810,0.49997970677366016
1R0E-DFN,20260811,0.5054656152857313
1RDT-570,20260809,0.46308438638446653
1RDT-570,20260810,0.5150323973910719
1RDT-570,20260811,0.5219559592051278
1RHR-CNE,20260809,0.4969516594516594
1RHR-CNE,20260810,0.6002044252044252
1RHR-CNE,20260811,0.5066558441558441
1RNE-C60,20260809,0.4988822093434768
1RNE-C60,20260810,0.5006507132574748
1RNE-C60,20260811,0.502498049994521
1RWQ-5AP,20260809,0.5153082091732399
1RWQ-5AP,20260810,0.5150306748466258
1RWQ-5AP,20260811,0.5202088810984515
1S63-778,20260809,0.49234637421947125
1S63-778,20260810,0.500165617110573
1S63-778,20260811,0.502431671679269
1SA4-JAN,20260809,0.5132665945165945
1SA4-JAN,20260810,0.4822691197691197
1SA4-JAN,20260811,0.48548681257014586
1T69-SHH,20260809,0.5148729357062689
1T69-SHH,20260810,0.46424229063117955
1T69-SHH,20260811,0.4610055582277805
1TFQ-998,20260809,0.5057021085438814
1TFQ-998,20260810,0.5094238612321292
1TFQ-998,20260811,0.47839287396941466
1TFT-997,20260809,0.418025818025818
1TFT-997,20260810,0.4959108459108458
1TFT-997,20260811,0.43325825825825826
1TU6-FSP,20260809,0.5030283544635529
1TU6-FSP,20260810,0.4887325785319002
1TU6-FSP,20260811,0.5003082263284214
1UDT-VIA,20260809,0.49952802764663634
1UDT-VIA,20260810,0.49843649844614807
1UDT-VIA,20260811,0.4959086376066292
1UDU-CIA,20260809,0.5117845381893845
1UDU-CIA,20260810,0.4846122198421816
1UDU-CIA,20260811,0.5131973268653754
1UHO-VDN,20260809,0.49774609194591984
1UHO-VDN,20260810,0.49578275931396903
1UHO-VDN,20260811,0.5076070121625083
1UMT-0DS,20260809,0.5023257909061651
1UMT-0DS,20260810,0.4939245505932926
1UMT-0DS,20260811,0.4905652395037893
1UZF-X8Z,20260809,0.48143608688721473
1UZF-X8Z,20260810,0.49754513448122467
1UZF-X8Z,20260811,0.5013628497651055
1VYW-292,20260809,0.5014848512207667
1VYW-292,20260810,0.49776597619907487
1VYW-292,20260811,0.5121780996780996
1W0X-OLO,20260809,0.5045995499348359
1W0X-OLO,20260810,0.4988540752673147
1W0X-OLO,20260811,0.49573695285589026
1X0N-DTF,20260809,0.49681547053011615
1X0N-DTF,20260810,0.4921319942128201
1X0N-DTF,20260811,0.508735009314218
1X8B-824,20260809,0.500191332144254
1X8B-824,20260810,0.5016003187949716
1X8B-824,20260811,0.49553488700042453
1XJD-STO,20260809,0.519328612390252
1XJD-STO,20260810,0.5164912901380361
1XJD-STO,20260811,0.4827803766946446
1XKK-FMM,20260809,0.5045290337701155
1XKK-FMM,20260810,0.4942494163813074
1XKK-FMM,20260811,0.4997660298937389
1XOW-R18,20260809,0.5528870999801232
1XOW-R18,20260810,0.5302275889485192
1XOW-R18,20260811,0.626436096203538
1XS7-MMI,20260809,0.5303703026188795
1XS7-MMI,20260810,0.4780823022995699
1XS7-MMI,20260811,0.4896277934940174
1Y91-CT9,20260809,0.4882554507554507
1Y91-CT9,20260810,0.5002723252723252
1Y91-CT9,20260811,0.48374369624369623
1YHO-TOP,20260809,0.5164428164428165
1YHO-TOP,20260810,0.4747964997964998
1YHO-TOP,20260811,0.5152329152329153
1YRS-L47,20260809,0.47934276980329615
1YRS-L47,20260810,0.5428642629300523
1YRS-L47,20260811,0.4954075529733424
1Z6E-IK8,20260809,0.4824419283901957
1Z6E-IK8,20260810,0.5094739669210357
1Z6E-IK8,20260811,0.540119022676448
1Z6J-PY3,20260809,0.4846575602160178
1Z6J-PY3,20260810,0.5140292912706909
1Z6J-PY3,20260811,0.5210082378139147
1ZD2-NC3,20260809,0.4891122317225258
1ZD2-NC3,20260810,0.4987758975685921
1ZD2-NC3,20260811,0.5042840407273519
1ZFQ-ZEC,20260809,0.5374831649831651
1ZFQ-ZEC,20260810,0.5284559884559885
1ZFQ-ZEC,20260811,0.576449013949014
1ZTQ-033,20260809,0.5092974282281362
1ZTQ-033,20260810,0.4996025050611292
1ZTQ-033,20260811,0.4948133468946031
2A4L-RRC,20260809,0.5063004230819397
2A4L-RRC,20260810,0.5034845288224794
2A4L-RRC,20260811,0.5033970193887113
2AEI-03R,20260809,0.5043278507371286
2AEI-03R,20260810,0.5060453868507557
2AEI-03R,20260811,0.5220680944421277
2AUX-CT1,20260809,0.47313489540762266
2AUX-CT1,20260810,0.47633033633033633
2AUX-CT1,20260811,0.4061060151969243
2AYP-43A,20260809,0.5382521645021645
2AYP-43A,20260810,0.40300264550264553
2AYP-43A,20260811,0.5070165945165945
2B36-5PP,20260809,0.4140997023809524
2B36-5PP,20260810,0.4465029761904762
2B36-5PP,20260811,0.6271205357142857
2B52-D42,20260809,0.5097202825258892
2B52-D42,20260810,0.5053871667038027
