target,loss,explainer,n_pairs,n_flipped,flip_rate
1TU6-FSP,MSE,gradcam,76,7,0.09210526315789473
1TU6-FSP,MSE+AC,gradcam,76,3,0.039473684210526314
1TU6-FSP,MSE+UCN,gradcam,76,14,0.18421052631578946
1TU6-FSP,MSE,gradinput,76,11,0.14473684210526316
1TU6-FSP,MSE+AC,gradinput,76,3,0.039473684210526314
1TU6-FSP,MSE+UCN,gradinput,76,11,0.14473684210526316
1TU6-FSP,MSE,ig,76,5,0.06578947368421052
1TU6-FSP,MSE+AC,ig,76,3,0.039473684210526314
1TU6-FSP,MSE+UCN,ig,76,12,0.15789473684210525
1TU6-FSP,MSE,shap,76,27,0.35526315789473684
1TU6-FSP,MSE+AC,shap,76,26,0.34210526315789475
1TU6-FSP,MSE+UCN,shap,76,28,0.3684210526315789
1UDT-VIA,MSE,cam,2353,359,0.152571185720357
1UDT-VIA,MSE+AC,cam,2353,472,0.20059498512537186
1UDT-VIA,MSE+UCN,cam,2353,471,0.20016999575010624
1UDT-VIA,MSE,diff,2353,131,0.055673608159796
1UDT-VIA,MSE+AC,diff,2353,181,0.07692307692307693
1UDT-VIA,MSE+UCN,diff,2353,149,0.06332341691457713
1UDT-VIA,MSE,gradcam,2353,274,0.11644708882277943
1UDT-VIA,MSE+AC,gradcam,2353,427,0.18147046323841903
1UDT-VIA,MSE+UCN,gradcam,2353,362,0.15384615384615385
1UDT-VIA,MSE,gradinput,2353,289,0.1228219294517637
1UDT-VIA,MSE+AC,gradinput,2353,189,0.08032299192520187
1UDT-VIA,MSE+UCN,gradinput,2353,356,0.15129621759456013
1UDT-VIA,MSE,ig,2353,237,0.10072248193795155
1UDT-VIA,MSE+AC,ig,2353,183,0.07777305567360816
1UDT-VIA,MSE+UCN,ig,2353,245,0.1041223969400765
1UDT-VIA,MSE,shap,2353,737,0.31321716957076073
1UDT-VIA,MSE+AC,shap,2353,734,0.3119422014449639
