source,loss,metric,mcs,explainer,target_median,rank
lin1,MSE,f1_test,85,cam,0.5205228758169934,
lin1,MSE,f1_test,85,diff,0.6182673069227691,
lin1,MSE,f1_test,85,gradcam,0.5153811759445562,
lin1,MSE,f1_test,85,gradinput,0.5,
lin1,MSE,f1_test,85,ig,0.575,
lin1,MSE,f1_test,85,shap,,
lin1,MSE,f1_test,90,cam,0.5384615384615384,
lin1,MSE,f1_test,90,diff,0.6659090909090909,
lin1,MSE,f1_test,90,gradcam,0.5641025641025641,
lin1,MSE,f1_test,90,gradinput,0.5532646048109967,
lin1,MSE,f1_test,90,ig,0.6,
lin1,MSE,f1_test,90,shap,,
lin1,MSE,f1_test,95,cam,0.6,
lin1,MSE,f1_test,95,diff,0.7453703703703703,
lin1,MSE,f1_test,95,gradcam,0.6666666666666666,
lin1,MSE,f1_test,95,gradinput,0.6390313390313391,
lin1,MSE,f1_test,95,ig,0.6666666666666666,
lin1,MSE,f1_test,95,shap,,
lin1,MSE,global_dir_test,50,cam,0.8545073731031341,
lin1,MSE,global_dir_test,50,diff,0.8115942028985508,
lin1,MSE,global_dir_test,50,gradcam,0.7465727699530517,
lin1,MSE,global_dir_test,50,gradinput,0.7117042954348528,
lin1,MSE,global_dir_test,50,ig,0.795816444701795,
lin1,MSE,global_dir_test,50,shap,,
lin1,MSE,global_dir_test,55,cam,0.8530813600485732,
lin1,MSE,global_dir_test,55,diff,0.813953488372093,
lin1,MSE,global_dir_test,55,gradcam,0.7418468628146048,
lin1,MSE,global_dir_test,55,gradinput,0.7106891318728356,
lin1,MSE,global_dir_test,55,ig,0.7934842394753543,
lin1,MSE,global_dir_test,55,shap,,
lin1,MSE,global_dir_test,60,cam,0.8444449144774877,
lin1,MSE,global_dir_test,60,diff,0.8108108108108109,
lin1,MSE,global_dir_test,60,gradcam,0.7471428571428571,
lin1,MSE,global_dir_test,60,gradinput,0.7002032520325203,
lin1,MSE,global_dir_test,60,ig,0.790699358776267,
lin1,MSE,global_dir_test,60,shap,,
lin1,MSE,global_dir_test,65,cam,0.8348042199229053,
lin1,MSE,global_dir_test,65,diff,0.8095238095238095,
lin1,MSE,global_dir_test,65,gradcam,0.7451264948019951,
lin1,MSE,global_dir_test,65,gradinput,0.709005376344086,
lin1,MSE,global_dir_test,65,ig,0.7867864783910996,
lin1,MSE,global_dir_test,65,shap,,
lin1,MSE,global_dir_test,70,cam,0.8289198606271777,
lin1,MSE,global_dir_test,70,diff,0.8,
lin1,MSE,global_dir_test,70,gradcam,0.7426075704704951,
lin1,MSE,global_dir_test,70,gradinput,0.6997757847533632,
lin1,MSE,global_dir_test,70,ig,0.7829167568647695,
lin1,MSE,global_dir_test,70,shap,,
lin1,MSE,global_dir_test,75,cam,0.8205128205128205,
lin1,MSE,global_dir_test,75,diff,0.8029680599774058,
lin1,MSE,global_dir_test,75,gradcam,0.7465753424657534,
lin1,MSE,global_dir_test,75,gradinput,0.6956521739130435,
lin1,MSE,global_dir_test,75,ig,0.782608695652174,
lin1,MSE,global_dir_test,75,shap,,
lin1,MSE,global_dir_test,80,cam,0.8128434065934066,
lin1,MSE,global_dir_test,80,diff,0.8125,
lin1,MSE,global_dir_test,80,gradcam,0.744745691467003,
lin1,MSE,global_dir_test,80,gradinput,0.7022848113964687,
lin1,MSE,global_dir_test,80,ig,0.7703296703296704,
lin1,MSE,global_dir_test,80,shap,,
lin1,MSE,global_dir_test,85,cam,0.8016528925619835,
lin1,MSE,global_dir_test,85,diff,0.8127540650406504,
lin1,MSE,global_dir_test,85,gradcam,0.7424242424242424,
lin1,MSE,global_dir_test,85,gradinput,0.7,
lin1,MSE,global_dir_test,85,ig,0.75,
lin1,MSE,global_dir_test,85,shap,,
lin1,MSE,global_dir_test,90,cam,0.771412111125336,
lin1,MSE,global_dir_test,90,diff,0.8333333333333334,
lin1,MSE,global_dir_test,90,gradcam,0.7333333333333333,
lin1,MSE,global_dir_test,90,gradinput,0.679144385026738,
lin1,MSE,global_dir_test,90,ig,0.75,
lin1,MSE,global_dir_test,90,shap,,
lin1,MSE,global_dir_test,95,cam,0.7222222222222222,
lin1,MSE,global_dir_test,95,diff,0.8571428571428571,
lin1,MSE,global_dir_test,95,gradcam,0.75,
lin1,MSE,global_dir_test,95,gradinput,0.6666666666666666,
lin1,MSE,global_dir_test,95,ig,0.75,
lin1,MSE,global_dir_test,95,shap,,
lin1,MSE,local_dir_test,50,cam,0.6276757725033587,
lin1,MSE,local_dir_test,50,diff,0.6666666666666666,
lin1,MSE,local_dir_test,50,gradcam,0.6246468926553672,
lin1,MSE,local_dir_test,50,gradinput,0.6160894785916446,
lin1,MSE,local_dir_test,50,ig,0.6370333852178874,
lin1,MSE,local_dir_test,50,shap,,
lin1,MSE,local_dir_test,55,cam,0.62674433698968,
lin1,MSE,local_dir_test,55,diff,0.6701030927835051,
lin1,MSE,local_dir_test,55,gradcam,0.6257130214259685,
lin1,MSE,local_dir_test,55,gradinput,0.6165023302755761,
lin1,MSE,local_dir_test,55,ig,0.6370333852178874,
lin1,MSE,local_dir_test,55,shap,,
lin1,MSE,local_dir_test,60,cam,0.6289809341215317,
lin1,MSE,local_dir_test,60,diff,0.6756756756756757,
lin1,MSE,local_dir_test,60,gradcam,0.6263158530107682,
lin1,MSE,local_dir_test,60,gradinput,0.6201923076923077,
lin1,MSE,local_dir_test,60,ig,0.6434799944525345,
lin1,MSE,local_dir_test,60,shap,,
lin1,MSE,local_dir_test,65,cam,0.6315608091363429,
lin1,MSE,local_dir_test,65,diff,0.6814671814671814,
lin1,MSE,local_dir_test,65,gradcam,0.6311623602869016,
lin1,MSE,local_dir_test,65,gradinput,0.6210911561178485,
lin1,MSE,local_dir_test,65,ig,0.645155494004628,
lin1,MSE,local_dir_test,65,shap,,
lin1,MSE,local_dir_test,70,cam,0.6294664708761625,
lin1,MSE,local_dir_test,70,diff,0.681647918085531,
lin1,MSE,local_dir_test,70,gradcam,0.625,
lin1,MSE,local_dir_test,70,gradinput,0.625,
lin1,MSE,local_dir_test,70,ig,0.6484848484848484,
lin1,MSE,local_dir_test,70,shap,,
lin1,MSE,local_dir_test,75,cam,0.6259328358208955,
lin1,MSE,local_dir_test,75,diff,0.6883116883116883,
lin1,MSE,local_dir_test,75,gradcam,0.625,
lin1,MSE,local_dir_test,75,gradinput,0.6238530668677728,
lin1,MSE,local_dir_test,75,ig,0.6552430243024303,
lin1,MSE,local_dir_test,75,shap,,
lin1,MSE,local_dir_test,80,cam,0.6296296296296297,
lin1,MSE,local_dir_test,80,diff,0.7005059797608095,
lin1,MSE,local_dir_test,80,gradcam,0.6419753086419753,
lin1,MSE,local_dir_test,80,gradinput,0.6313868613138686,
lin1,MSE,local_dir_test,80,ig,0.6625,
lin1,MSE,local_dir_test,80,shap,,
lin1,MSE,local_dir_test,85,cam,0.6363636363636364,
lin1,MSE,local_dir_test,85,diff,0.7106079404466501,
lin1,MSE,local_dir_test,85,gradcam,0.6491228070175439,
lin1,MSE,local_dir_test,85,gradinput,0.6316590563165906,
lin1,MSE,local_dir_test,85,ig,0.6666666666666666,
lin1,MSE,local_dir_test,85,shap,,
lin1,MSE,local_dir_test,90,cam,0.6363636363636364,
lin1,MSE,local_dir_test,90,diff,0.75,
lin1,MSE,local_dir_test,90,gradcam,0.6666666666666666,
lin1,MSE,local_dir_test,90,gradinput,0.6632653061224489,
lin1,MSE,local_dir_test,90,ig,0.6818181818181818,
lin1,MSE,local_dir_test,90,shap,,
lin1,MSE,local_dir_test,95,cam,0.6666666666666666,
lin1,MSE,local_dir_test,95,diff,0.820855614973262,
lin1,MSE,local_dir_test,95,gradcam,0.75,
lin1,MSE,local_dir_test,95,gradinput,0.6909814323607427,
lin1,MSE,local_dir_test,95,ig,0.7777777777777778,
lin1,MSE,local_dir_test,95,shap,,
lin1,MSE+AC,acc_test,50,cam,0.5519730780260186,
lin1,MSE+AC,acc_test,50,diff,0.6140926257205326,
lin1,MSE+AC,acc_test,50,gradcam,0.5633027247050684,
lin1,MSE+AC,acc_test,50,gradinput,0.5625497766752463,
lin1,MSE+AC,acc_test,50,ig,0.5828449932898536,
lin1,MSE+AC,acc_test,50,shap,,
lin1,MSE+AC,acc_test,55,cam,0.5521641513592599,
lin1,MSE+AC,acc_test,55,diff,0.6140926257205326,
lin1,MSE+AC,acc_test,55,gradcam,0.5651108499161228,
lin1,MSE+AC,acc_test,55,gradinput,0.5623936962919343,
lin1,MSE+AC,acc_test,55,ig,0.5849586677578461,
lin1,MSE+AC,acc_test,55,shap,,
lin1,MSE+AC,acc_test,60,cam,0.5538649893467357,
lin1,MSE+AC,acc_test,60,diff,0.6158730158730158,
lin1,MSE+AC,acc_test,60,gradcam,0.5675384699909836,
lin1,MSE+AC,acc_test,60,gradinput,0.5635811944002638,
lin1,MSE+AC,acc_test,60,ig,0.5902809973672647,
lin1,MSE+AC,acc_test,60,shap,,
lin1,MSE+AC,acc_test,65,cam,0.5543259985106789,
lin1,MSE+AC,acc_test,65,diff,0.6190608492475711,
lin1,MSE+AC,acc_test,65,gradcam,0.5722002960002956,
lin1,MSE+AC,acc_test,65,gradinput,0.565064935064935,
lin1,MSE+AC,acc_test,65,ig,0.5928128998883717,
lin1,MSE+AC,acc_test,65,shap,,
lin1,MSE+AC,acc_test,70,cam,0.5586324944485564,
lin1,MSE+AC,acc_test,70,diff,0.6274824723110632,
lin1,MSE+AC,acc_test,70,gradcam,0.5747727272727273,
lin1,MSE+AC,acc_test,70,gradinput,0.569047619047619,
lin1,MSE+AC,acc_test,70,ig,0.594723255527276,
lin1,MSE+AC,acc_test,70,shap,,
lin1,MSE+AC,acc_test,75,cam,0.5606781903329601,
lin1,MSE+AC,acc_test,75,diff,0.6315115440115437,
lin1,MSE+AC,acc_test,75,gradcam,0.5818518716832068,
lin1,MSE+AC,acc_test,75,gradinput,0.57499716614198,
lin1,MSE+AC,acc_test,75,ig,0.6007936507936509,
lin1,MSE+AC,acc_test,75,shap,,
lin1,MSE+AC,acc_test,80,cam,0.5630243764172336,
lin1,MSE+AC,acc_test,80,diff,0.6531911675741077,
lin1,MSE+AC,acc_test,80,gradcam,0.589447731755423,
lin1,MSE+AC,acc_test,80,gradinput,0.5916666666666667,
lin1,MSE+AC,acc_test,80,ig,0.616050903119869,
lin1,MSE+AC,acc_test,80,shap,,
lin1,MSE+AC,acc_test,85,cam,0.5675279931093885,
lin1,MSE+AC,acc_test,85,diff,0.6666666666666666,
lin1,MSE+AC,acc_test,85,gradcam,0.5909090909090909,
lin1,MSE+AC,acc_test,85,gradinput,0.5945945945945945,
lin1,MSE+AC,acc_test,85,ig,0.6154929577464788,
lin1,MSE+AC,acc_test,85,shap,,
lin1,MSE+AC,acc_test,90,cam,0.5769230769230769,
lin1,MSE+AC,acc_test,90,diff,0.6911393633540373,
lin1,MSE+AC,acc_test,90,gradcam,0.6197916666666665,
lin1,MSE+AC,acc_test,90,gradinput,0.6142857142857144,
lin1,MSE+AC,acc_test,90,ig,0.625,
lin1,MSE+AC,acc_test,90,shap,,
lin1,MSE+AC,acc_test,95,cam,0.6,
lin1,MSE+AC,acc_test,95,diff,0.75,
lin1,MSE+AC,acc_test,95,gradcam,0.6324561403508772,
lin1,MSE+AC,acc_test,95,gradinput,0.6111111111111112,
lin1,MSE+AC,acc_test,95,ig,0.6282894736842105,
lin1,MSE+AC,acc_test,95,shap,,
lin1,MSE+AC,f1_test,50,cam,0.500014091861128,
lin1,MSE+AC,f1_test,50,diff,0.4834874252801832,
lin1,MSE+AC,f1_test,50,gradcam,0.4764509478442088,
lin1,MSE+AC,f1_test,50,gradinput,0.4517452740175424,
lin1,MSE+AC,f1_test,50,ig,0.46147964236199535,
lin1,MSE+AC,f1_test,50,shap,,
lin1,MSE+AC,f1_test,55,cam,0.5001600228374619,
lin1,MSE+AC,f1_test,55,diff,0.4862050960735172,
lin1,MSE+AC,f1_test,55,gradcam,0.47850302147151935,
lin1,MSE+AC,f1_test,55,gradinput,0.45291712125126127,
lin1,MSE+AC,f1_test,55,ig,0.46357872024952307,
lin1,MSE+AC,f1_test,55,shap,,
lin1,MSE+AC,f1_test,60,cam,0.500282105761199,
lin1,MSE+AC,f1_test,60,diff,0.4948605173063379,
lin1,MSE+AC,f1_test,60,gradcam,0.4817726594677286,
lin1,MSE+AC,f1_test,60,gradinput,0.4546662109820004,
lin1,MSE+AC,f1_test,60,ig,0.473037889408504,
lin1,MSE+AC,f1_test,60,shap,,
lin1,MSE+AC,f1_test,65,cam,0.5020374837900073,
lin1,MSE+AC,f1_test,65,diff,0.5066666666666667,
lin1,MSE+AC,f1_test,65,gradcam,0.48446233436685177,
lin1,MSE+AC,f1_test,65,gradinput,0.4600410325255525,
lin1,MSE+AC,f1_test,65,ig,0.4843407413242637,
lin1,MSE+AC,f1_test,65,shap,,
lin1,MSE+AC,f1_test,70,cam,0.5038759689922481,
lin1,MSE+AC,f1_test,70,diff,0.5258622553689954,
lin1,MSE+AC,f1_test,70,gradcam,0.4867115521950282,
lin1,MSE+AC,f1_test,70,gradinput,0.4669947281152922,
lin1,MSE+AC,f1_test,70,ig,0.4972027972027971,
lin1,MSE+AC,f1_test,70,shap,,
lin1,MSE+AC,f1_test,75,cam,0.506655166760657,
lin1,MSE+AC,f1_test,75,diff,0.5433611167027936,
lin1,MSE+AC,f1_test,75,gradcam,0.49802575185262354,
lin1,MSE+AC,f1_test,75,gradinput,0.4772337962962965,
lin1,MSE+AC,f1_test,75,ig,0.521176517032762,
lin1,MSE+AC,f1_test,75,shap,,
lin1,MSE+AC,f1_test,80,cam,0.5107407407407407,
lin1,MSE+AC,f1_test,80,diff,0.5719780219780219,
lin1,MSE+AC,f1_test,80,gradcam,0.5076923076923077,
lin1,MSE+AC,f1_test,80,gradinput,0.4954391692096611,
lin1,MSE+AC,f1_test,80,ig,0.5473321059527954,
lin1,MSE+AC,f1_test,80,shap,,
lin1,MSE+AC,f1_test,85,cam,0.5223710317460317,
lin1,MSE+AC,f1_test,85,diff,0.6004273504273504,
lin1,MSE+AC,f1_test,85,gradcam,0.52,
lin1,MSE+AC,f1_test,85,gradinput,0.5143745143745144,
lin1,MSE+AC,f1_test,85,ig,0.5709426627793975,
lin1,MSE+AC,f1_test,85,shap,,
lin1,MSE+AC,f1_test,90,cam,0.5454545454545454,
lin1,MSE+AC,f1_test,90,diff,0.6666666666666666,
lin1,MSE+AC,f1_test,90,gradcam,0.5641025641025641,
lin1,MSE+AC,f1_test,90,gradinput,0.5666666666666668,
lin1,MSE+AC,f1_test,90,ig,0.5897435897435898,
lin1,MSE+AC,f1_test,90,shap,,
lin1,MSE+AC,f1_test,95,cam,0.6,
lin1,MSE+AC,f1_test,95,diff,0.75,
lin1,MSE+AC,f1_test,95,gradcam,0.6405317417254477,
lin1,MSE+AC,f1_test,95,gradinput,0.6150793650793651,
lin1,MSE+AC,f1_test,95,ig,0.6282894736842105,
lin1,MSE+AC,f1_test,95,shap,,
lin1,MSE+AC,global_dir_test,50,cam,0.85,
lin1,MSE+AC,global_dir_test,50,diff,0.8125,
lin1,MSE+AC,global_dir_test,50,gradcam,0.75,
lin1,MSE+AC,global_dir_test,50,gradinput,0.6811868686868687,
lin1,MSE+AC,global_dir_test,50,ig,0.8,
lin1,MSE+AC,global_dir_test,50,shap,,
lin1,MSE+AC,global_dir_test,55,cam,0.8478844209380104,
lin1,MSE+AC,global_dir_test,55,diff,0.8108108108108109,
lin1,MSE+AC,global_dir_test,55,gradcam,0.7515314043754411,
lin1,MSE+AC,global_dir_test,55,gradinput,0.6811868686868687,
lin1,MSE+AC,global_dir_test,55,ig,0.7963068181818183,
lin1,MSE+AC,global_dir_test,55,shap,,
lin1,MSE+AC,global_dir_test,60,cam,0.8406754225382094,
lin1,MSE+AC,global_dir_test,60,diff,0.8125,
lin1,MSE+AC,global_dir_test,60,gradcam,0.752698714712849,
lin1,MSE+AC,global_dir_test,60,gradinput,0.6818181818181818,
lin1,MSE+AC,global_dir_test,60,ig,0.8,
lin1,MSE+AC,global_dir_test,60,shap,,
lin1,MSE+AC,global_dir_test,65,cam,0.8298125750415827,
lin1,MSE+AC,global_dir_test,65,diff,0.8125,
lin1,MSE+AC,global_dir_test,65,gradcam,0.7591916734252501,
lin1,MSE+AC,global_dir_test,65,gradinput,0.6968826907301067,
lin1,MSE+AC,global_dir_test,65,ig,0.786405529953917,
lin1,MSE+AC,global_dir_test,65,shap,,
lin1,MSE+AC,global_dir_test,70,cam,0.8269230769230769,
lin1,MSE+AC,global_dir_test,70,diff,0.8021621621621622,
lin1,MSE+AC,global_dir_test,70,gradcam,0.7409999383653367,
lin1,MSE+AC,global_dir_test,70,gradinput,0.6880656108597285,
lin1,MSE+AC,global_dir_test,70,ig,0.7704421562689279,
lin1,MSE+AC,global_dir_test,70,shap,,
lin1,MSE+AC,global_dir_test,75,cam,0.8214285714285714,
lin1,MSE+AC,global_dir_test,75,diff,0.8,
lin1,MSE+AC,global_dir_test,75,gradcam,0.7391304347826086,
lin1,MSE+AC,global_dir_test,75,gradinput,0.6836007130124777,
lin1,MSE+AC,global_dir_test,75,ig,0.7582417582417582,
lin1,MSE+AC,global_dir_test,75,shap,,
lin1,MSE+AC,global_dir_test,80,cam,0.8043437862950058,
lin1,MSE+AC,global_dir_test,80,diff,0.8125,
lin1,MSE+AC,global_dir_test,80,gradcam,0.7469319002165717,
lin1,MSE+AC,global_dir_test,80,gradinput,0.7,
lin1,MSE+AC,global_dir_test,80,ig,0.7692307692307693,
lin1,MSE+AC,global_dir_test,80,shap,,
lin1,MSE+AC,global_dir_test,85,cam,0.8125,
lin1,MSE+AC,global_dir_test,85,diff,0.8333333333333334,
lin1,MSE+AC,global_dir_test,85,gradcam,0.75,
lin1,MSE+AC,global_dir_test,85,gradinput,0.7111111111111111,
lin1,MSE+AC,global_dir_test,85,ig,0.7647058823529411,
lin1,MSE+AC,global_dir_test,85,shap,,
lin1,MSE+AC,global_dir_test,90,cam,0.7777777777777778,
lin1,MSE+AC,global_dir_test,90,diff,0.8461538461538461,
lin1,MSE+AC,global_dir_test,90,gradcam,0.7366946778711485,
lin1,MSE+AC,global_dir_test,90,gradinput,0.6817279046673287,
lin1,MSE+AC,global_dir_test,90,ig,0.75,
lin1,MSE+AC,global_dir_test,90,shap,,
lin1,MSE+AC,global_dir_test,95,cam,0.75,
lin1,MSE+AC,global_dir_test,95,diff,0.8461538461538461,
lin1,MSE+AC,global_dir_test,95,gradcam,0.7272727272727273,
lin1,MSE+AC,global_dir_test,95,gradinput,0.6666666666666666,
lin1,MSE+AC,global_dir_test,95,ig,0.75,
lin1,MSE+AC,global_dir_test,95,shap,,
lin1,MSE+AC,local_dir_test,50,cam,0.6218375942071819,
lin1,MSE+AC,local_dir_test,50,diff,0.6735537190082644,
lin1,MSE+AC,local_dir_test,50,gradcam,0.6272727272727273,
lin1,MSE+AC,local_dir_test,50,gradinput,0.606968489677653,
lin1,MSE+AC,local_dir_test,50,ig,0.6412035964042331,
lin1,MSE+AC,local_dir_test,50,shap,,
lin1,MSE+AC,local_dir_test,55,cam,0.6235520910701366,
lin1,MSE+AC,local_dir_test,55,diff,0.6740011580775912,
lin1,MSE+AC,local_dir_test,55,gradcam,0.6288412806674252,
lin1,MSE+AC,local_dir_test,55,gradinput,0.606056466302368,
lin1,MSE+AC,local_dir_test,55,ig,0.6436569265776015,
lin1,MSE+AC,local_dir_test,55,shap,,
lin1,MSE+AC,local_dir_test,60,cam,0.6244961934617107,
lin1,MSE+AC,local_dir_test,60,diff,0.6787878787878788,
lin1,MSE+AC,local_dir_test,60,gradcam,0.6297453859625488,
lin1,MSE+AC,local_dir_test,60,gradinput,0.6097429136453527,
lin1,MSE+AC,local_dir_test,60,ig,0.644853855721393,
lin1,MSE+AC,local_dir_test,60,shap,,
lin1,MSE+AC,local_dir_test,65,cam,0.6265364212705395,
lin1,MSE+AC,local_dir_test,65,diff,0.6808510638297872,
lin1,MSE+AC,local_dir_test,65,gradcam,0.632527787387008,
lin1,MSE+AC,local_dir_test,65,gradinput,0.6117142857142857,
lin1,MSE+AC,local_dir_test,65,ig,0.6430338983050847,
lin1,MSE+AC,local_dir_test,65,shap,,
lin1,MSE+AC,local_dir_test,70,cam,0.625,
lin1,MSE+AC,local_dir_test,70,diff,0.6850621969217794,
lin1,MSE+AC,local_dir_test,70,gradcam,0.6297229219143576,
lin1,MSE+AC,local_dir_test,70,gradinput,0.6122448979591837,
lin1,MSE+AC,local_dir_test,70,ig,0.6458333333333334,
lin1,MSE+AC,local_dir_test,70,shap,,
lin1,MSE+AC,local_dir_test,75,cam,0.625,
lin1,MSE+AC,local_dir_test,75,diff,0.6938053097345133,
lin1,MSE+AC,local_dir_test,75,gradcam,0.6382595595092905,
lin1,MSE+AC,local_dir_test,75,gradinput,0.6164120903543864,
lin1,MSE+AC,local_dir_test,75,ig,0.6486363636363637,
lin1,MSE+AC,local_dir_test,75,shap,,
lin1,MSE+AC,local_dir_test,80,cam,0.625,
lin1,MSE+AC,local_dir_test,80,diff,0.7142857142857143,
lin1,MSE+AC,local_dir_test,80,gradcam,0.6497695852534562,
lin1,MSE+AC,local_dir_test,80,gradinput,0.625,
lin1,MSE+AC,local_dir_test,80,ig,0.6696574225122349,
lin1,MSE+AC,local_dir_test,80,shap,,
lin1,MSE+AC,local_dir_test,85,cam,0.625,
lin1,MSE+AC,local_dir_test,85,diff,0.7254901960784313,
lin1,MSE+AC,local_dir_test,85,gradcam,0.6593059936908517,
lin1,MSE+AC,local_dir_test,85,gradinput,0.64,
lin1,MSE+AC,local_dir_test,85,ig,0.6875,
lin1,MSE+AC,local_dir_test,85,shap,,
lin1,MSE+AC,local_dir_test,90,cam,0.6428571428571429,
lin1,MSE+AC,local_dir_test,90,diff,0.75,
lin1,MSE+AC,local_dir_test,90,gradcam,0.6666666666666666,
lin1,MSE+AC,local_dir_test,90,gradinput,0.6578947368421053,
lin1,MSE+AC,local_dir_test,90,ig,0.7,
lin1,MSE+AC,local_dir_test,90,shap,,
lin1,MSE+AC,local_dir_test,95,cam,0.6666666666666666,
lin1,MSE+AC,local_dir_test,95,diff,0.8333333333333334,
lin1,MSE+AC,local_dir_test,95,gradcam,0.7071428571428571,
