explainer,n_targets,mean_real_minus_random,median_real_minus_random,bootstrap_ci_low,bootstrap_ci_high,absolute_difference_ge_0_02,ci_excludes_zero
cam,350,0.029463115552008503,0.013511936722271994,0.022060890398917565,0.03750826630837636,True,True
diff,350,0.12230177983416662,0.12423809814746672,0.1132506311722177,0.1312840637293372,True,True
gradcam,350,0.06802136638316036,0.06483301217264353,0.05813800958471595,0.0778354289624866,True,True
gradinput,350,0.0548312953186488,0.047304004239186154,0.04460816811131519,0.064688081358704,True,True
ig,350,0.09304752814952622,0.08819279024296306,0.08398214068332523,0.10229364768378846,True,True
shap,348,0.029192657343039368,0.027170635486783945,0.024693923522642176,0.03399310190086926,True,True
