target,explainer,real_accuracy_mcs50,random_mean,real_minus_random
1CKP-PVB,cam,0.498848291242537,0.4943145729180482,0.004533718324488789
1CKP-PVB,diff,0.6644561214316235,0.4943145729180482,0.17014154851357527
1CKP-PVB,gradcam,0.4897514918416499,0.4943145729180482,-0.004563081076398301
1CKP-PVB,gradinput,0.5254424902195876,0.4943145729180482,0.031127917301539354
1CKP-PVB,ig,0.6447479260362039,0.4943145729180482,0.1504333531181557
1CKP-PVB,shap,0.5379795847855954,0.4943145729180482,0.04366501186754718
1D3G-BRE,cam,0.5886786469344609,0.4989812297951833,0.08969741713927765
1D3G-BRE,diff,0.6394140742977953,0.4989812297951833,0.140432844502612
1D3G-BRE,gradcam,0.4725693815228699,0.4989812297951833,-0.026411848272313354
1D3G-BRE,gradinput,0.5149503339038223,0.4989812297951833,0.015969104108639
1D3G-BRE,ig,0.6205129366757274,0.4989812297951833,0.1215317068805441
1D3G-BRE,shap,0.4812609483539716,0.4989812297951833,-0.017720281441211683
1D7X-SPC,cam,0.5192828734127851,0.4984782960449327,0.020804577367852406
1D7X-SPC,diff,0.6524977181490894,0.4984782960449327,0.1540194221041567
1D7X-SPC,gradcam,0.6116143586818098,0.4984782960449327,0.11313606263687709
1D7X-SPC,gradinput,0.5992490383477669,0.4984782960449327,0.10077074230283417
1D7X-SPC,ig,0.6242440757191018,0.4984782960449327,0.12576577967416908
1D7X-SPC,shap,0.5168960538391134,0.4984782960449327,0.0184177577941807
1D8M-BBH,cam,0.62,0.5308797128797128,0.08912028712028719
1D8M-BBH,diff,0.5302742257742258,0.5308797128797128,-0.0006054871054870237
1D8M-BBH,gradcam,0.6145622155622156,0.5308797128797128,0.08368250268250277
1D8M-BBH,gradinput,0.5109366744366743,0.5308797128797128,-0.019943038443038463
1D8M-BBH,ig,0.5697310467310467,0.5308797128797128,0.03885133385133388
1D8M-BBH,shap,0.5752374847374847,0.5308797128797128,0.0443577718577719
1DB4-8IN,cam,0.5267513538841159,0.4978396280394885,0.028911725844627367
1DB4-8IN,diff,0.563872805195678,0.4978396280394885,0.06603317715618945
1DB4-8IN,gradcam,0.5073731598005023,0.4978396280394885,0.009533531761013847
1DB4-8IN,gradinput,0.4604981674095338,0.4978396280394885,-0.03734146062995469
1DB4-8IN,ig,0.5002053102269423,0.4978396280394885,0.002365682187453755
1DB4-8IN,shap,0.5110526393671144,0.4978396280394885,0.013213011327625923
