target,loss,explainer,normalization,mcs,global_dir_test,n_pairs
1CKP-PVB,MSE+AC,cam,l1,60,0.7638190954773869,199
1CKP-PVB,MSE+AC,cam,l1,65,0.7431693989071039,183
1CKP-PVB,MSE+AC,cam,l1,70,0.7037037037037037,135
1CKP-PVB,MSE+AC,cam,l1,75,0.6341463414634146,82
1CKP-PVB,MSE+AC,cam,l1,80,0.6029411764705882,68
1CKP-PVB,MSE+AC,cam,l1,85,0.5869565217391305,46
1CKP-PVB,MSE+AC,cam,l1,90,0.6111111111111112,18
1CKP-PVB,MSE+AC,cam,l1,95,0.0,2
1CKP-PVB,MSE+AC,cam,signed_rank,50,0.6588785046728972,214
1CKP-PVB,MSE+AC,cam,signed_rank,55,0.6572769953051644,213
1CKP-PVB,MSE+AC,cam,signed_rank,60,0.6482412060301508,199
1CKP-PVB,MSE+AC,cam,signed_rank,65,0.6174863387978142,183
1CKP-PVB,MSE+AC,cam,signed_rank,70,0.5925925925925926,135
1CKP-PVB,MSE+AC,cam,signed_rank,75,0.5365853658536586,82
1CKP-PVB,MSE+AC,cam,signed_rank,80,0.5147058823529411,68
1CKP-PVB,MSE+AC,cam,signed_rank,85,0.4782608695652174,46
1CKP-PVB,MSE+AC,cam,signed_rank,90,0.4444444444444444,18
1CKP-PVB,MSE+AC,cam,signed_rank,95,0.0,2
1CKP-PVB,MSE+UCN,cam,raw,50,0.883177570093458,214
1CKP-PVB,MSE+UCN,cam,raw,55,0.8826291079812206,213
1CKP-PVB,MSE+UCN,cam,raw,60,0.8793969849246231,199
1CKP-PVB,MSE+UCN,cam,raw,65,0.8688524590163934,183
1CKP-PVB,MSE+UCN,cam,raw,70,0.8592592592592593,135
1CKP-PVB,MSE+UCN,cam,raw,75,0.8780487804878049,82
1CKP-PVB,MSE+UCN,cam,raw,80,0.8676470588235294,68
1CKP-PVB,MSE+UCN,cam,raw,85,0.8695652173913043,46
1CKP-PVB,MSE+UCN,cam,raw,90,0.7777777777777778,18
1CKP-PVB,MSE+UCN,cam,raw,95,0.0,2
1CKP-PVB,MSE+UCN,cam,l1,50,0.9112149532710281,214
1CKP-PVB,MSE+UCN,cam,l1,55,0.9107981220657277,213
1CKP-PVB,MSE+UCN,cam,l1,60,0.914572864321608,199
1CKP-PVB,MSE+UCN,cam,l1,65,0.907103825136612,183
1CKP-PVB,MSE+UCN,cam,l1,70,0.8888888888888888,135
1CKP-PVB,MSE+UCN,cam,l1,75,0.8414634146341463,82
1CKP-PVB,MSE+UCN,cam,l1,80,0.8235294117647058,68
1CKP-PVB,MSE+UCN,cam,l1,85,0.8478260869565217,46
1CKP-PVB,MSE+UCN,cam,l1,90,0.7777777777777778,18
1CKP-PVB,MSE+UCN,cam,l1,95,0.0,2
